station,latitude,longitude,height_m,x_m,y_m,z_m
DLF1,51.986016072,4.38745694228,75.8250093982,3924698.1156,301124.8036,5001904.9952
DLMT,56.2569627968,62.9719889279,80.0647951765,1613726.5567,3163292.6125,5280454.809
DMD1,55.2637264116,37.8467874088,183.808151658,2876402.1709,2234930.7238,5218319.136
DMTR,52.1269043617,35.0856719685,209.086709782,3210944.461,2255490.1895,5011649.4895
DNKV,53.2374156637,39.1291907945,163.951583698,2967647.4422,2414253.1958,5086532.0206
DR2O,49.3226196391,240.375019133,541.858216106,-2059164.682,-3621108.388,4814432.366
DRAO,49.322619978,240.375018779,541.857464459,-2059164.69,-3621108.35,4814432.39
DS13,35.2477840642,243.208531492,1045.33197858,-2350842.5306,-4655599.6054,3660954.4023
DUBO,50.2588090849,264.133820708,245.261430405,-417603.6,-4064529.8,4881432.16
DUMG,-66.6651666664,140.002194444,-3.3999755634,-1940884.1352,1628468.4903,-5833719.8048
DUND,-45.8836659804,170.59717008,386.932298332,-4388120.4644,726671.3094,-4556533.5806
DYNG,38.0785533781,23.932434028,508.555624014,4595218.5637,2039433.4368,3912624.7622
EAOZ,55.8399381917,48.8124537391,106.502010382,2363885.9959,2701429.7611,5254544.1719
EBRE,40.8208851454,0.492358838561,107.791714949,4833520.364,41536.83,4147461.291
EFRM,53.1403143284,38.1124421584,215.396659245,3016852.0051,2366572.2259,5080098.0521
EKB2,56.7800280908,60.5578008629,285.310076197,1721718.0225,3050302.1183,5312758.1139
ELAN,50.944403555,43.7437892905,131.871426897,2909202.631,2784351.3792,4929752.3581
ELBA,42.7528975559,10.2110932255,271.74927601,4616534.1841,831568.3974,4307569.7601
ELBG,55.7645257482,52.0793599938,83.362805225,2210357.04,2837219.4849,5249805.8202
ELIZ,49.8730541105,232.877336954,164.671990281,-2485778.167,-3284087.075,4853826.866
ELST,46.2948920523,44.239112015,159.118290585,3162909.9317,3079999.2205,4588071.6414
ENAO,39.0912027914,331.973988502,91.5520813717,4375732.1533,-2329166.8136,4000238.2806
ENTK,47.2446524299,47.0286080977,-7.58821357973,2956754.7367,3173907.0225,4660266.2284
ERSH,51.3504473624,48.2661051058,111.519413213,2657180.1084,2978803.8038,4958074.7418
ES13,49.8717652363,8.62333748697,192.305740332,4072341.465,617580.515,4853755.6
ES14,49.8717652363,8.62333748697,192.305740332,4072341.465,617580.515,4853755.6
ES17,49.8717652363,8.62333748697,192.305740332,4072341.465,617580.515,4853755.6
ESOC,49.8717652363,8.62333748697,192.305740332,4072341.465,617580.515,4853755.6
EUR2,79.9889463365,274.062410023,28.8509326233,78804.76,-1109590.47,6259356.93
EVP2,45.1891595174,33.3670423318,38.9093255084,3760518.8429,2476502.879,4502216.2345
FAA1,-17.5553531556,210.386018124,35.4253508383,-5247394.125,-3076906.802,-1911532.689
FAIR,64.9779983283,212.50076043,319.177081822,-2281621.7717,-1453595.9493,5756961.9444
FALK,-51.6936522177,302.125932631,50.8406723617,2106811.344,-3355170.6666,-4981786.3348
FFMJ,50.0905801199,8.66497064252,178.263322342,4053455.7,617729.9,4869395.9
FLIN,54.7255842454,258.021967517,311.494407342,-766174.46,-3611375.32,5184056.22
FLRS,39.4538325362,328.873610785,79.9180120286,4221530.0272,-2549242.3485,4031397.8561
FUNC,32.6479460471,343.092383383,78.4969556062,5143339.4259,-1563412.8716,3421191.4391
GAMB,-23.130407126,225.035156592,87.7458341317,-4147131.2376,-4152223.7082,-2490041.2295
GAMG,35.5900706274,127.919660259,925.930925851,-3191606.8465,4096898.54,3691838.0622
GANP,49.0347107606,20.3229312656,746.032790104,3929181.8613,1455236.5105,4793653.7094
GCGO,64.9780580258,212.500568502,319.389056082,-2281621.6297,-1453585.1138,5756964.9518
GENO,44.4193883332,8.92114443018,155.522151148,4507892.2461,707621.5731,4441603.566
GLDR,49.6814848245,233.872726244,-10.8176658973,-2437877.22,-3339823.49,4839933.33
GLDZ,44.5529372149,38.0821387854,48.6449364005,3583489.969,2808011.574,4452116.12
GLPS,-0.742999068087,269.696329565,1.79461373016,-33801.4662,-6377516.5323,-82154.3508
GLSV,50.3641783966,30.4967393106,226.793679635,3512889.2897,2068980.6544,4888903.261
GMSD,30.5564455641,131.015563635,142.650883893,-3607665.43,4147868.225,3223717.262
GODE,39.0217282121,283.173166954,14.4813511837,1130773.4883,-4831253.5703,3994200.4626
GODN,39.0211788687,283.172904701,17.8452573121,1130760.7208,-4831298.6778,3994155.1999
GODR,39.0200302833,283.172257261,18.6459847204,1130724.5634,-4831390.2298,3994056.6378
GODS,39.0205179264,283.172675689,19.0669989316,1130752.1541,-4831349.1034,3994098.9626
GOLD,35.4251559694,243.110750047,986.67789273,-2353614.316,-4641385.3523,3676976.434
GOP6,49.9136664876,14.78560234,592.582049134,3979319.6273,1050311.9142,4857064.3557
GOPE,49.9137018448,14.7856182337,592.601970296,3979316.4389,1050312.2534,4857066.9036
GRAC,43.7544868837,6.9207628863,1319.85800729,4581708.596,556132.373,4389341.031
GRAS,43.7547431601,6.92058003471,1319.37356506,4581690.4709,556115.3357,4389361.2674
GRAZ,47.0671270885,15.4934762207,538.287897312,4194424.124,1162702.4605,4647245.193
GRZV,58.8694897694,40.2318950659,209.739331297,2523656.893,2135064.6673,5436613.9008
GUAM,13.5893299439,144.868359997,201.914003922,-5071312.6574,3568363.6347,1488904.402
GUSV,54.5923669004,22.1855746675,78.6780329514,3429515.1992,1398552.0863,5175288.1082
GYBH,58.6839633495,57.6392156354,207.761249274,1778806.0122,2807194.8391,5425899.1277
HAL1,20.7074170451,203.743757483,3072.84408494,-5466017.9454,-2404394.6546,2242210.2481
HAL2,20.7077197655,203.741476387,3046.96667451,-5466080.656,-2404162.517,2242232.463
HARB,-25.8869617397,27.7072458462,1555.02639102,5084655.1841,2670323.9736,-2768479.6949
HERS,50.8673118117,0.336268802704,76.510979129,4033470.2939,23672.7,4924301.1926
HERT,50.8674764999,0.334350056252,83.3220252348,4033461.1717,23537.5675,4924318.0386
HKSL,22.3720048137,113.927981391,95.2978440849,-2393382.416,5393861.175,2412592.411
HKWS,22.4342823654,114.335377376,63.7910526693,-2430579.011,5374285.674,2418956.333
HLFX,44.6835492908,296.388720541,3.11837838683,2018905.8,-4069070.52,4462415.41
HOB2,-42.8047052439,147.438737014,41.0329511398,-3950072.2497,2522415.3618,-4311637.4022
HOFN,64.2672889534,344.802079294,82.8679616479,2679690.3394,-727951.3266,5722789.3077
HOLB,50.6403540893,231.865003522,559.586906417,-2503040.424,-3188233.325,4908701.543
HRAG,-25.8903970718,27.6851944922,1408.73738427,5085418.8075,2668228.4797,-2768758.295
HRAO,-25.8901042865,27.686981298,1414.33341426,5085352.597,2668395.992,-2768731.551
HVRS,52.5980289015,48.9755547497,69.7942115832,2548302.1097,2928961.4572,5043553.2577
IENG,45.0151366128,7.63940757008,315.511105655,4476536.2781,600431.4924,4488760.8781
IISC,13.0211658519,77.5703759357,843.714474707,1337936.455,6070317.1261,1427876.7852
IITK,26.5214313807,80.232140833,70.2419735035,968879.6164,5628036.0058,2830901.0745
ILVL,49.2994643213,43.9784178805,48.318524777,2998776.5806,2893702.7076,4812379.1257
INCH,42.471243153,47.9434012983,-8.39050875977,3156272.2088,3498439.4015,4284353.3727
INEG,21.8561535559,257.71579658,1887.82299274,-1260435.693,-5788547.1133,2360340.0152
IQAL,63.7559640741,291.489502543,91.6963058338,1036001.02,-2631455.56,5697819.69
ISHI,36.2088321165,140.218954547,155.829871256,-3959648.7541,3296836.3371,3747005.5756
ISNG,52.1900869456,56.5820258587,182.196577814,2158020.7732,3270577.2832,5015941.3596
ISTA,41.1044450621,29.0193349672,147.313279899,4208830.726,2334850.0235,4171267.089
IVA2,55.9736851127,37.9158307855,181.631891567,2822240.6355,2198307.0151,5262953.809
IVNV,56.9723137647,41.0195045455,141.982022213,2629122.1826,2287032.8292,5324339.3216
IZMI,38.3948079995,27.081822233,74.9267343627,4456584.2746,2278765.5271,3939930.8768
IZOB,45.3829114698,41.7175959045,204.027692143,3349653.9107,2986278.5822,4517483.8394
JDPR,26.2064548281,73.0239524858,170.610025796,1671951.277,5476894.1622,2799677.3343
JFNG,30.5155657334,114.49102452,69.5441607926,-2279828.6769,5004704.9128,3219776.5954
JOG2,-7.76381409624,110.372462891,174.374733196,-2200208.0871,5924895.6273,-855929.2334
JORD,48.433064753,235.94614255,87.3644857518,-2374207.47,-3512780.21,4749027.75
JOZ2,52.09783311,21.0323465492,152.518804094,3664880.91,1409190.385,5009618.285
JOZE,52.0972767328,21.031543056,141.040705938,3664939.6857,1409153.9908,5009571.1962
JPLM,34.2048208804,241.826770907,424.038444154,-2493304.6796,-4655215.1032,3565497.5918
JPRE,-25.7320256087,28.2826355929,1387.32710904,5064032.232,2724721.054,-2752950.721
KALG,54.5164186985,36.2423846934,226.716073625,2992758.1367,2193769.4866,5170505.7518
KALI,45.4946428815,38.6509815286,29.5386521062,3497608.5728,2797203.2932,4526072.9324
KANA,55.5074152763,47.4902955265,222.762724193,2446293.4532,2668753.2072,5233762.9162
KANV,46.0616884885,38.971862007,32.3942684643,3446774.6268,2788341.4626,4570031.3407
KARA,43.7983962646,41.9108013817,872.334330195,3431914.8405,3080449.1133,4392554.6438
KARR,-20.9814225218,117.097196719,109.12697727,-2713833.2662,5303935.0985,-2269513.7479
KARS,54.2079960557,46.9830291597,158.683146966,2550496.9989,2733449.4947,5150446.5738
KAT1,-14.3759954607,132.153276719,184.290961782,-4147413.8168,4581462.5899,-1573359.0814
KDUY,59.2078589348,37.1663274023,131.479623331,2608436.2183,1977495.7451,5455938.7484
KERG,-49.3514451829,70.255496094,76.7861215891,1406340.5115,3918164.4911,-4816168.6552
KETC,47.3069150735,44.5064302926,63.9268547576,3089969.6371,3037186.457,4665015.2418
KIMR,56.8515883173,37.3487294465,142.225316476,2779106.0786,2120849.1879,5317000.0379
KIR0,67.8775732852,21.0602342395,497.961815572,2248123.5016,865686.5284,5886425.5924
KIR8,67.8775420955,21.0601775196,497.986906819,2248127.375,865685.4644,5886424.3055
KIRI,1.35458055619,172.922897222,36.196208369,-6327822.5073,785604.0532,149768.9471
KIRO,48.4783904354,44.5358116128,35.3696101625,3019516.6248,2970982.8384,4752331.5062
KIRU,67.8573504051,20.9684442954,390.919360222,2251420.932,862817.14,5885476.604
KIT3,39.1347674918,66.8854493876,622.602406309,1944944.8306,4556652.418,4004326.1235
KITG,39.1333863953,66.8867381653,618.593838721,1944879.1057,4556782.3167,4004204.6509
KIVN,54.7430889591,58.1888303465,480.323042388,1945216.0023,3135947.0273,5185319.1962
KLIN,56.3289253948,36.751015474,198.978341809,2840031.7044,2120830.6647,5285000.5232
KLNG,54.68866608,20.3818879294,40.3094283324,3463619.645,1286862.41,5181460.429
KLNS,52.7551041415,32.2336788418,221.17219983,3272322.9129,2063378.9937,5054271.8506
KLY2,54.2631086933,52.0090395505,226.868153811,2298178.8965,2942491.6272,5154087.3755
KMNM,24.4638246275,118.38857294,49.1155060884,-2761837.4371,5110347.2889,2625151.11
KMSH,50.0810409794,45.4001711341,45.8954926357,2879509.8462,2920016.1567,4868613.5523
KMUR,56.4179744751,61.9293301946,180.724880259,1664025.6342,3120286.3878,5290476.462
KOKB,22.12626377,200.335070216,1167.52157457,-5543838.3609,-2054586.6103,2387810.1225
KOKF,22.1269869257,200.335281144,1168.65288762,-5543803.4932,-2054596.9002,2387884.7414
KOKG,22.1270111908,200.335059612,1168.90165427,-5543810.7041,-2054575.1936,2387887.3246
KOKR,22.1232585848,200.334645761,1174.79180416,-5543977.437,-2054591.4415,2387504.5369
KOKT,49.094932324,45.3018134948,27.5141414814,2943246.4899,2974418.9045,4797499.2726
KOKV,22.12626377,200.335070216,1167.52157457,-5543838.3609,-2054586.6103,2387810.1225
KOS1,52.1733552687,5.81822542672,104.785121836,3899613.9607,397361.623,5014738.6348
KOSH,54.2057776754,50.4616533214,134.684450748,2380061.0935,2883311.1141,5150282.6875
KOUC,-20.5586965735,164.287334554,84.1731093908,-5751222.662,1617967.645,-2225744.218
KOUG,5.09847086722,307.360249849,107.247941636,3855263.3407,-5049731.9986,563040.4252
KOUR,5.25218012385,307.194040729,-25.7556679379,3839591.4332,-5059567.5514,579956.9164
KOZ1,55.8456523715,48.2610027957,79.7090860661,2389415.8744,2678149.3818,5254879.2164
KOZE,54.038823579,35.7593671827,194.199725876,3046154.006,2193673.2895,5139439.8153
KOZH,57.7638359327,33.957457433,225.360604296,2828815.5495,1905005.6824,5371943.9982
KOZL,55.8456523715,48.2610027957,79.7090860661,2389415.8744,2678149.3818,5254879.2164
KPOL,43.6784293565,40.2015495368,566.354150102,3529140.8186,2982518.8268,4382711.6301
KRCH,57.641210939,39.7760262989,118.239160538,2629942.6626,2189321.968,5364556.0927
KRD4,45.0530164824,38.9612277933,51.0055411654,3509537.607,2838037.4077,4491548.7429
KRDL,55.8296887027,56.9101597425,155.071058551,1960319.098,3008289.314,5253943.489
KRGA,58.2622368892,54.9323161678,171.110848927,1932390.6325,2752812.8688,5401304.3552
KRGG,-49.3515198534,70.2554741367,76.4038776085,1406339.8003,3918157.7873,-4816173.775
KRGN,55.4363842708,65.3404539166,85.4402967105,1513168.6919,3295992.653,5229167.3177
KRS1,40.588451531,43.0934433459,1811.7729188,3542999.8373,3314720.2023,4129002.5312
KRSK,51.7217579406,36.1911195627,185.894918758,3195461.1573,2337963.5394,4983830.1461
KRSP,45.9490215545,33.810550271,31.1346076755,3691123.5776,2471976.254,4561331.9652
KRTR,59.6404926422,60.3090795019,184.021938972,1600788.8346,2807515.2499,5480501.0143
KRVO,58.5918119765,49.6293695565,168.897580008,2158280.3057,2538606.1016,5420523.6068
KRVR,60.413564465,57.0831801429,143.917806082,1715682.2161,2650334.6021,5523496.8757
KSTR,57.7340373741,41.0163894248,179.309893589,2575366.7095,2240025.8103,5370134.0049
KSU1,39.1007503887,263.390515664,325.427137913,-570504.8409,-4923590.8487,4001208.4104
KTVO,50.3184108713,44.8244034095,159.638972073,2894371.0719,2876684.2402,4885602.3328
KUF1,56.6035915371,57.790045993,202.816829016,1875729.6955,2977460.9187,5301899.7782
KUML,49.8862837947,42.5779038654,90.9541954994,3032030.84,2785938.0178,4854718.7374
KUR1,51.6008356223,35.4966889038,192.316956326,3232157.0786,2305193.4316,4975489.3452
KUSH,46.5719080309,39.6270220197,36.469637434,3383078.4554,2801414.4374,4609205.5551
KVND,51.4898842475,57.3861963273,221.005135028,2144935.907,3352163.2335,4967834.703
KYCH,53.4631663936,51.4749853542,59.155918411,2370231.8175,2977120.927,5101445.5073
KYNG,57.4254440587,56.9462231408,145.367467732,1877485.5021,2885142.0953,5351679.2971
KZLR,43.8444348945,46.7310375799,-4.75856078882,3158065.8882,3354897.4154,4395638.2776
KZLU,43.1966779412,46.8706465609,67.7737464756,3183798.018,3398788.9099,4343502.5245
KZN2,55.7907826796,49.1192459943,93.6741698533,2352345.7,2717466.1,5251458.5
KZN3,55.7957602864,49.2718709922,111.465492331,2344806.0276,2723382.896,5251784.7775
LAIS,55.3990967758,49.5530426579,73.6083046179,2355038.4226,2762570.3886,5226801.3371
LAMA,53.8923974243,20.6699376027,187.048741438,3524523.267,1329693.458,5129846.189
LAMP,35.499771786,12.605652403,57.7958378261,5073165.0016,1134512.2309,3683180.9269
LAUT,-17.6088106387,177.446581806,89.6460081488,-6075194.6182,270923.8012,-1917189.1801
LCK3,26.9121910471,80.9556374004,63.5640162686,894675.9727,5620592.3888,2869571.9353
LCK4,26.9121449555,80.9556190058,64.0209393874,894678.2046,5620594.7868,2869567.5881
LDNV,53.8876163112,34.4376892675,223.372008574,3107180.7228,2130534.5593,5129561.907
LEIJ,51.3539820531,12.3741020931,178.426520573,3898736.2,855345.5,4958372.6
LENI,45.2951874647,35.77577762,46.9677182222,3646329.7683,2627473.318,4510518.9655
LICC,51.4997889501,359.825162125,88.6499647321,3978703.569,-12141.038,4968417.218
LISK,50.9865010046,39.4994866797,154.750969338,3104496.2841,2559102.5332,4932719.6494
LIVN,52.4215663527,37.6462901466,201.154582278,3086432.8262,2380848.1445,5031706.1243
LLAG,28.481665678,343.679271308,618.494320958,5384902.6,-1576770.7,3023825.9
LMMF,14.5948161699,299.003823197,-27.1085182205,2993387.307,-5399363.939,1596747.992
LNNG,54.5779319821,52.4270421685,331.304755562,2259307.8358,2936637.1384,5174562.8144
LPAL,28.7638701213,342.106170156,2199.22112397,5326646.317,-1719826.438,3052043.561
LPGS,-34.9067454152,302.067700448,29.8675453654,2780102.9896,-4437418.9149,-3629404.5253
LPZK,52.6056996285,39.5948692444,145.327189239,2991138.2044,2474033.5919,5044131.6997
LROC,46.1589393454,358.780680044,57.8505121246,4424632.789,-94175.482,4577543.851
LUB3,55.6811351209,37.8939897568,197.827331996,2844352.6037,2213788.9394,5244671.3206
MAC1,-54.4995271778,158.935829586,-6.81697146036,-3464038.8399,1334173.1904,-5169223.9258
MADR,40.4291617425,355.750340685,829.455672703,4849202.394,-360328.9929,4114913.1862
MAJU,7.11915022037,171.36451651,33.6907660905,-6257572.1845,950333.1634,785215.4422
MAL1,55.0188062632,36.48855438,239.940208518,2946583.6265,2179446.4072,5202780.6642
MAL2,-2.99605540621,40.1941427728,-20.9069360979,4865385.694,4110717.189,-331137.637
MALM,56.5129554719,50.6422547564,86.3012585603,2236935.4713,2727388.2458,5296240.5645
MAO0,20.7066398072,203.743057136,3067.70359078,-5466070.7981,-2404338.162,2242127.8998
MAR6,60.5951411393,17.2585215945,75.3712093867,2998189.7101,931451.587,5533398.4707
MAR7,60.5950522322,17.2584399085,74.2616738314,2998198.7594,931449.7113,5533392.6403
MARS,43.2787668985,5.35378376748,61.7901563263,4630532.995,433946.047,4350142.478
MAS1,27.7637398037,344.366723022,197.157548917,5439192.2651,-1522055.6288,2953454.7059
MAT1,40.649059803,16.7045423811,534.529475753,4641951.7049,1393053.398,4133280.678
MATE,40.6491294173,16.7044555667,535.660991264,4641949.8142,1393045.1637,4133287.2808
MATG,40.6490177305,16.7046404669,535.721067799,4641953.1013,1393062.4794,4133277.9092
MAW1,-67.6047665379,62.8707157784,59.1447536247,1111287.1654,2168911.2657,-5874493.6074
MAYG,-12.7820444621,45.2581543034,-13.899400549,4379106.2569,4418746.5051,-1401897.5448
MBAR,-0.601469043937,30.7378762024,1337.65328939,5482951.3876,3260442.6429,-66519.8489
MCHL,-26.3589018469,148.144961918,534.588967671,-4857858.9305,3018464.3697,-2814983.2242
MCIL,24.2900938479,153.978660808,35.6636323109,-5227188.142,2551880.364,2607617.909
MCM4,-77.8383494704,166.669329308,98.0221868781,-1311703.172,310814.982,-6213255.16
MDO1,30.6805110974,255.985006696,2004.47609226,-1329998.797,-5328393.357,3236504.141
MEDI,44.5199547081,11.646811253,50.002134799,4461400.9788,919593.3357,4449504.5479
MERS,36.5663884812,34.2558522434,38.4670285955,4239149.4932,2886967.9193,3778876.9845
MET3,60.2174521619,24.3944913801,79.0921742488,2892584.5062,1311799.2111,5512619.5572
METG,60.2419666228,24.3841746076,57.6368283033,2890651.5843,1310295.1304,5513957.1076
METS,60.2174695707,24.3953148219,94.5676832022,2892571.1204,1311843.2621,5512633.9521
MGNT,53.3607655958,58.992290615,408.546741561,1965198.3919,3269642.747,5094932.7768
MGO3,30.6766703361,255.983695048,1966.37202514,-1330165.475,-5328541.964,3236118.377
MGO4,30.6806139358,255.976030216,1883.98245837,-1330807.0534,-5328078.7372,3236452.4672
MGO5,30.6799893404,255.97608555,1885.48958001,-1330810.7863,-5328115.5692,3236393.6658
MGRB,48.9332333824,235.363692088,852.40713302,-2386335.958,-3454505.421,4786326.877
MGRM,41.612325079,48.3436841775,374.729916169,3174408.9394,3568352.3292,4213756.4861
MGUE,-35.7773507712,290.602073033,1553.71594294,1823327.9138,-4850352.4421,-3709085.5307
MHCH,42.9289643027,47.5581247882,-13.4183624033,3156452.8664,3451687.3302,4321717.8069
MHL1,50.0677491514,43.2212432256,102.516456934,2989300.461,2809226.3979,4867708.1004
MIAC,55.0634806365,60.1111864559,372.879148225,1824351.881,3174079.0533,5205739.419
MIKL,46.9727893672,31.9728278783,94.7024397366,3698554.628,2308675.267,4639770.434
MINV,44.1981650911,43.0948303311,387.100236106,3344740.2041,3129386.511,4424174.1014
MIZU,39.1351701032,141.132826474,117.00453402,-3857167.6484,3108694.9138,4004041.6876
MKEA,19.8013566028,204.543654671,3754.66092448,-5464105.317,-2495165.842,2148291.476
MLRV,48.9433497003,40.4056593886,172.875156627,3196136.8845,2720670.1083,4786553.5618
MMKV,54.6879115395,50.5131046966,117.935466786,2349698.9256,2851741.3938,5181475.2223
MOBS,-37.8294031313,144.975341056,40.5609559463,-4130636.7478,2894953.1401,-3890530.2317
MORZ,48.3496825478,41.8207843667,91.3772163223,3164863.4098,2831781.009,4742873.7442
MOZH,56.4435441696,52.213236328,163.558768685,2165296.6156,2792815.5708,5292036.5312
MQZG,-43.702736015,172.654702969,154.635233474,-4580569.492,590465.603,-4384380.1068
MRC1,38.4990996494,282.629350441,27.2002114989,1092811.8197,-4877221.9707,3948968.109
MRIB,49.4670164882,236.085923502,-7.75909073837,-2317213.95,-3446548.751,4824467.697
MRM1,68.9923631538,33.0998569386,135.095339581,1921110.8604,1252349.5791,5931793.6953
MRO1,-26.6966346584,116.637493958,354.068021077,-2556630.049,5097138.2888,-2848384.7854
MSGR,-20.4453672475,305.276594582,532.631865806,3453185.8127,-4881336.1262,-2214148.6717
MSSA,36.1403519823,138.352309809,1628.19126632,-3854398.682,3427836.654,3741739.927
MYRA,49.5509810628,234.429256604,606.015310189,-2411986.36,-3372664.01,4830998.52
MYVA,65.642300665,343.108888889,371.536868731,2524230.1758,-766492.0264,5787949.6194
MZSK,55.5063641463,36.0157896447,234.885391534,2928383.8562,2128828.655,5233706.633
NABG,78.9430906889,11.8573056438,42.7552184304,1201009.738,252157.911,6238021.904
NAGN,62.148320511,65.426290295,75.1401907075,1242445.7299,2717030.0,5616323.0582
NAIN,56.5369768572,298.311279884,32.8401517244,1671836.4219,-3103473.3257,5297671.3413
NANO,49.2948110164,235.91352184,6.55638879072,-2335726.73,-3451608.329,4812009.971
NAUR,-0.551839722029,166.92555,46.2990196785,-6212555.0461,1442786.7508,-61018.7991
NAUS,-3.0229196625,299.944983355,93.8900527656,3179409.3753,-5519130.6738,-334110.1621
NCHK,43.4984472912,43.6483216937,473.792405725,3353372.753,3198770.898,4368162.7571
NCSB,50.403052291,233.944122183,1285.68439686,-2397990.809,-3293791.229,4892476.582
NEFT,52.7977931216,51.1719472579,99.1302567441,2423101.9763,3010711.2804,5057048.4568
NEVI,57.4885679379,60.2186109513,254.842801299,1706817.554,2982517.4648,5355553.3566
NGRS,45.4534420059,34.7234061483,46.1507689469,3683682.6863,2552929.8017,4522873.738
NICO,35.1409810179,33.3964327203,191.684282061,4359417.8,2874117.0,3650778.3
NIST,39.9950742749,254.737384546,1649.06993366,-1288399.2489,-4721696.7314,4078626.4807
NIUM,-19.0765666664,190.072933333,90.1000177842,-5937159.6122,-1054675.7255,-2071390.6728
NKAY,17.7191328938,105.153157114,521.504478179,-1588774.0209,5866612.1885,1928955.1944
NKLG,0.353907724087,9.67212629108,28.4528025854,6287382.7332,1071574.167,39133.0222
NKLS,59.5452468813,45.4622696438,148.896782914,2273136.9882,2310116.0597,5475099.9755
NLIB,41.7715910031,268.425106586,207.042421478,-130934.4493,-4762291.7386,4226854.6638
NNOR,-31.0487375275,116.192715805,234.855071511,-2414151.446,4907778.504,-3270645.187
NOT1,36.8758421748,14.9897831332,126.339530068,4934546.4658,1321264.692,3806455.9209
NPRK,45.9450529854,40.7129774818,88.9701493541,3367562.6523,2897888.1613,4561066.8163
NRC1,45.4541622301,284.37617372,82.4786091158,1112777.33,-4341475.83,4522955.78
NRFM,55.3834507452,36.6986336573,220.158075364,2911835.1822,2170307.0381,5225932.5959
NRMD,-22.2283303569,166.484882639,160.383536655,-5743537.658,1380504.26,-2397897.027
NRMG,-22.2283240439,166.484885677,160.364280874,-5743537.971,1380504.0131,-2397896.3726
NSHA,47.7531682802,39.9484975845,143.370916827,3293538.0985,2758565.4215,4698574.4938
NTAG,57.9081518673,59.9519011766,219.824207265,1700894.5517,2940332.586,5380496.0628
NTKA,49.5923638062,233.38338962,-1.58591384534,-2470820.256,-3324948.07,4833520.928
NTMK,56.0871361334,54.3069817472,108.071221117,2081054.1196,2896838.087,5269951.075
NTUS,1.34580138323,103.679952783,76.0582279628,-1508022.5722,6195577.3952,148799.3912
NVMK,53.9986021801,38.3016357758,235.447040843,2948714.5114,2328891.0935,5136842.857
NVMS,44.6326001378,41.9606631941,353.817359274,3380885.0307,3039962.1455,4458634.5272
NVPK,51.0908896369,41.5751841766,143.286410698,3003008.2083,2663870.4286,4940013.189
NVSH,55.5227138048,42.2126550027,94.6782200225,2680306.5026,2431432.4831,5234621.7148
NVSL,54.8321507443,39.7603135711,151.581376296,2830429.6481,2354905.5344,5190767.5771
NYA1,78.9295521693,11.8653035704,84.1357005723,1202434.1303,252632.2212,6237772.4351
NYA2,78.9303326707,11.858638097,81.4596903054,1202379.31,252474.6543,6237786.5417
NYAL,78.9295821928,11.8650805765,78.4130313862,1202430.8186,252626.639,6237767.4626
NZRN,43.2328091041,44.7662405066,540.770527139,3304749.4079,3277892.9154,4346751.9589
OAFA,-31.5086834355,291.376731172,727.343008447,1984093.305,-5068867.986,-3314488.034
OBE4,48.0848050426,11.2778568516,650.556320528,4186704.43,834903.583,4723664.857
ODN1,55.6778151897,37.2550657395,220.133893127,2869114.9305,2182126.0672,5244481.3324
OMNT,58.6716313197,52.1671272564,233.590892742,2039124.042,2625710.8239,5425207.0713
ONS1,57.3953305829,11.9245370245,44.4128503511,3370667.1984,711818.7219,5349787.8726
ONSA,57.395296044,11.9255131038,45.5266244663,3370658.8291,711876.9374,5349786.7382
OP71,48.8358950462,2.33496366507,125.118052641,4202781.0461,171369.9921,4778660.2804
OREL,52.9800439301,36.0621287548,223.582757425,3111118.106,2265517.9978,5069385.1782
ORID,41.1273107327,20.7940480635,772.992362817,4498451.81,1708266.83,4173591.78
ORLN,44.4380259226,33.7798728257,335.35340766,3791652.8583,2536361.935,4443208.47
ORSK,51.2304837833,58.4739854648,233.836502922,2092702.0968,3411501.612,4949823.4877
OSAA,57.2807363172,55.464500316,102.978149312,1959141.8359,2846788.8108,5342949.7385
OUS2,-45.8694746054,170.510933098,26.1157194972,-4387890.8367,733420.3903,-4555176.3706
P010,45.009468108,34.4677320657,328.240325532,3724083.2923,2556404.7068,4488324.5105
P042,56.2966585487,44.0390862085,170.324837181,2550179.9122,2466044.377,5282983.8278
P043,43.8811471984,255.814294265,1489.9968505,-1128701.6968,-4465269.768,4399615.4147
P049,58.0001392974,56.3056290118,193.446785766,1879620.7482,2818972.347,5385909.9974
P051,45.8065847672,251.453889744,1080.28607111,-1416836.6606,-4223180.5002,4551062.2621
P053,48.7260870667,252.274568596,815.322022942,-1283559.8625,-4015769.7103,4771132.3867
P058,55.534882613,45.465693253,177.405716267,2537263.7104,2578847.7692,5235456.7344
P095,51.7668094018,55.0930957465,124.791021991,2263485.78,3243797.701,4986885.864
P141,52.773020471,52.2266705089,82.9568188926,2368611.0077,3056531.7081,5055368.2616
P149,56.8005420168,59.905460158,351.859402527,1755394.748,3028880.071,5314065.007
P164,59.7579839654,43.1413671295,173.264443074,2349908.4865,2202189.9487,5487096.0114
P206,56.3724627096,41.3638845916,140.031451688,2657215.8619,2339675.7886,5287637.7304
P217,61.2518687248,46.6533440642,81.5795712695,2111119.7165,2236614.0503,5568966.8179
P389,43.8119784654,239.396605172,1393.33901133,-2347409.5144,-3968716.0159,4394004.5932
P779,35.2019442309,277.127519215,878.811248978,647471.9459,-5177937.7698,3656703.2565
