station,latitude,longitude,height_m,x_m,y_m,z_m
40KI,54.05808744,34.2840152281,224.769404877,3100205.095,2113549.379,5140723.454
40MA,55.0034673741,36.4674940124,228.324747566,2948504.253,2179190.743,5201791.955
40MO,54.4892546155,34.9801885961,243.183420044,3042380.625,2128730.476,5168763.314
40SU,54.1014072884,35.3398994239,242.409306413,3057554.01,2168067.112,5143566.582
41PT,53.0356276882,158.670503743,73.4037011499,-3580288.758,1398020.017,5072987.296
42BA,55.7265958642,86.0113316379,217.366626632,250424.219,3591440.397,5247539.525
42BE,53.7720977359,86.8767411081,243.235178357,205833.022,3772239.301,5121989.403
42K2,54.350666523,86.7940977695,211.251674122,208356.851,3719859.894,5159761.201
42K3,54.0301752486,86.6397930387,279.745778522,220072.217,3748206.547,5138943.695
42KA,54.4195776202,86.8177367907,310.608944564,206479.129,3713776.826,5164309.033
42KE,55.3647104384,86.0733727237,109.341501695,248806.076,3624793.498,5224655.87
42KR,54.2147278572,87.1021473657,239.731268075,188976.135,3733212.945,5150950.526
42ME,53.7906462643,88.1465005055,307.626711573,122138.265,3774247.477,5123261.233
42NE,54.0033998363,87.1378282449,178.859492075,187601.038,3752327.327,5137110.958
42NO,53.7854417581,87.2536820483,204.724465702,180953.209,3772292.235,5122835.978
42PR,53.9528938249,86.6848515967,335.338945812,217528.775,3755358.029,5133931.385
42SC,56.1778359644,85.9681029715,166.483242896,250204.757,3549695.251,5275627.557
43KI,58.5774144961,49.6832179859,160.158711413,2156776.079,2541673.499,5419680.214
43KO,58.3044734562,48.3326195073,145.11753115,2233301.788,2509477.963,5403755.507
43KR,57.8635169744,49.9228161972,173.393049449,2189652.296,2602398.325,5377813.904
44K2,57.7057561893,40.9461473059,135.106310509,2580104.56,2238596.575,5368414.439
44VA,58.0243928767,41.2538660382,180.340743368,2545469.645,2232620.835,5387329.91
47SL,59.113837304,28.095647843,72.1945328349,2895480.887,1545760.178,5450518.573
48C3,53.2385791878,39.9704301462,160.178116457,2931800.592,2457495.495,5086606.498
48EL,52.6204568911,38.5006043152,178.029364111,3036834.609,2415659.618,5045154.827
48LI,52.581535614,39.5255814578,228.47719928,2995814.419,2471806.153,5042564.268
48ST,52.1492892398,39.883447828,168.248400104,3009518.121,2514870.847,5013146.026
50BR,55.4201773086,38.2537864363,166.140120512,2849195.062,2246429.602,5228209.895
50DM,56.3463727542,37.5163857252,165.821136359,2810151.454,2157582.18,5286049.806
50GZ,55.609991034,38.3967026066,154.143728079,2829925.35,2242706.032,5240165.312
50K2,56.3289256286,36.7510163777,199.040057528,2840031.681,2120830.717,5285000.589
50MO,55.5079943511,36.0256371969,225.849864353,2927892.804,2129240.939,5233801.971
50NF,55.3886406852,36.725545245,207.229241218,2910428.438,2171385.717,5226250.182
50OD,55.6855324139,37.2551518235,241.168213054,2868556.24,2181707.954,5244983.134
50PA,55.7796676782,38.6551116753,163.533291501,2807599.377,2245702.095,5250820.401
50PO,55.3792445659,37.5192103302,195.177191465,2880749.404,2212011.72,5225645.996
50S2,54.4713627744,38.7217673522,156.901687688,2898208.068,2323710.821,5167535.96
50SC,55.9248287121,37.995241298,175.73540994,2822740.446,2204989.014,5259902.995
50SE,54.922103577,37.4356392778,214.463047102,2917145.231,2233202.519,5196580.353
50SH,55.6109260162,39.5823557282,146.259122116,2782843.574,2300725.31,5240217.602
50SP,56.3190575425,38.1335216948,262.045159527,2788782.573,2189320.821,5284443.725
50ST,54.9026740511,38.080660374,215.37412083,2893213.693,2266992.744,5195337.742
50V2,56.0336957136,35.9587528418,199.335412302,2891192.259,2097395.751,5266704.597
50V3,55.3318634124,38.6739467627,140.829954846,2838950.625,2272309.628,5222602.493
51KA,67.1556093312,32.399966263,48.6351545276,2096695.206,1330601.507,5855217.213
51M2,68.9671962701,33.0908189841,88.486524622,1923489.904,1253468.14,5930743.186
51MO,67.9400021951,32.8997426469,173.041771864,2017163.537,1304948.763,5888743.314
52AR,55.3967587375,43.833521531,186.004372515,2618829.229,2514309.776,5226746.034
52G2,56.659911812,43.4678780268,124.946023731,2550145.908,2417282.36,5305284.241
52MA,55.6845974151,44.2080543156,208.581604875,2583406.11,2512959.356,5244897.532
52NN,56.3329285537,43.9542882754,104.764345265,2551381.448,2459909.653,5285169.237
52S2,57.1491720757,43.1784265904,107.377589929,2529032.908,2373128.634,5335019.694
